15,"British Columbia began reporting to the Integrated Correctional Services Survey in 2008/2009. Comparisons to data from previous years should be made with caution. British Columbia migrated to a new data collection platform called the Canadian Correctional Services Survey (CCSS) from 2016/2017. The CCSS implemented new methodologies which may result in a small increase in custody admissions from previous years. In British Columbia, sentenced admissions counts include immigration holds prior to 2008/2009. Other custodial status admissions represent pre-court lock-ups in a correctional facility. Other custodial status admissions data from 2005/2006 to 2007/2008 are not available. British Columbia began reporting to the Canadian Correctional Services Survey in 2016/2017. Comparisons to data from previous years should be made with caution."
16,The Northwest Territories began reporting community admissions data in 2009/2010. Other custodial status admissions are not available as of from 2007/2008. Community admissions data are not available prior to 2009/2010.
17,"Nunavut did not have an inmate data system available to properly calculate any custodial admission data for 2000/2001 (in order to calculate sentence length distributions and medians, and sentenced admissions by median age on admission). Other custodial status admissions for all years are not available. Community admissions data are not available for 2000/2001."
18,"Total custodial admissions are totals of sentenced (including intermittent sentences), remand and other custodial status admissions."
19,"Sentenced custody is the detention of offenders convicted of a crime, either in a federal (two years or more), or a provincial/territorial (less than two years) facility. Sentenced custody admissions include admissions to intermittent sentences."
20,"Remand is the detention of a person in custody while awaiting a further court appearance. These persons have not been sentenced and can be held for a number of reasons (e.g., risk that they won't appear for their court date, danger to themselves and/or others, risk to re-offend). Remand is the responsibility of provincial/territorial correctional services."
21,"Other custodial statuses include persons who are being held in provincial/territorial correctional institutions for lock-ups, parole violations or suspensions, immigration holds, and those who are temporarily detained without warrants of any type."
22,"Probation orders are dispositions imposed by the Court that are a non-custodial sentence. The offender is released into the community under the supervision of a probation officer. The release is conditional on the offender acting in a manner stipulated by the Court. Probation is mandatory when the accused is given a suspended sentence or a conditional discharge. For those jurisdictions that do not operate a provincial or territorial parole board (i.e. all but Quebec, Ontario, and British Columbia (until March 31, 2007)), the probation caseload may also include a small number of provincial or territorial parolees. Probation is supervised by provincial/territorial correctional services."
23,"Conditional sentence of imprisonment option came into effect in September 1996. When a conditional sentence is imposed, the offender serves their sentence in the community under supervision. The prerequisites for imposing a conditional sentence include: the offence must not have a prescribed minimum sentence; the maximum sentence of imprisonment for the offence must be less than two years; and the court must be satisfied that the offender would not endanger the safety of the community. The offender who receives such a conditional sentence of imprisonment must abide by certain conditions, such as ""house arrest"", curfew, alcohol or driving prohibition, treatment programs or a community service order, and may be sent to prison if he or she violates those conditions. Conditional sentences are supervised by provincial/territorial correctional services."

"How to cite: Statistics Canada. Table 35-10-0014-01 Adult admissions to correctional services"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3510001401
DOI: https://doi.org/10.25318/3510001401-eng
